epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,1263.78,0.84257,0.75372,1.07202,0.86858,0.56013,0.66327,0.4965,1.1415,3.50471,1.12536,0.00174656,0.00174656,0.00174656
66,1282.95,0.94558,0.8603,1.17593,0.68245,0.35593,0.38284,0.29932,1.32187,3.33784,1.32862,0.0017426,0.0017426,0.0017426
67,1302.74,0.97213,0.87,1.18937,0.74668,0.22034,0.26489,0.18599,1.47183,3.03019,1.57178,0.00173864,0.00173864,0.00173864
68,1321.62,0.96851,0.81749,1.15215,0.72033,0.57627,0.62757,0.44415,1.17032,1.90039,1.10008,0.00173468,0.00173468,0.00173468
69,1340.99,0.91064,0.88486,1.15789,0.89114,0.67797,0.81436,0.64064,0.92745,1.66767,0.90733,0.00173072,0.00173072,0.00173072
70,1360.48,0.83804,0.81509,1.07794,0.83832,0.72881,0.7946,0.62069,0.8536,1.51628,0.89852,0.00172676,0.00172676,0.00172676
71,1379.54,0.86836,0.75487,1.07998,0.88742,0.66813,0.7601,0.58927,0.95651,1.58927,0.93433,0.0017228,0.0017228,0.0017228
72,1398.68,0.88945,1.00772,1.10195,0.94323,0.84483,0.88629,0.72513,0.84758,1.44391,0.82949,0.00171884,0.00171884,0.00171884
73,1419.44,0.81665,0.68371,1.04288,0.95122,0.83051,0.90655,0.71325,0.89047,1.4483,0.84618,0.00171488,0.00171488,0.00171488
74,1438.26,0.83904,0.81382,1.06175,0.93301,0.81356,0.87347,0.70056,0.89834,1.57132,0.8633,0.00171092,0.00171092,0.00171092
75,1457.11,0.8112,0.7522,1.11926,0.91883,0.84746,0.89281,0.71456,0.88276,1.42052,0.84963,0.00170696,0.00170696,0.00170696
76,1476.24,0.7454,0.65267,1.00496,0.95543,0.76271,0.88923,0.69163,0.94588,1.08851,0.86236,0.001703,0.001703,0.001703
77,1496.01,0.74236,0.74889,1.00801,0.94424,0.86103,0.89037,0.71375,0.9257,1.04772,0.86214,0.00169904,0.00169904,0.00169904
78,1514.84,0.8542,0.73407,1.15272,0.85083,0.84746,0.86201,0.68055,0.95898,1.20095,0.86376,0.00169508,0.00169508,0.00169508
79,1534.38,0.79007,0.73132,1.06771,0.95897,0.79238,0.86042,0.67486,0.96649,1.3013,0.84174,0.00169112,0.00169112,0.00169112
80,1553.07,0.78337,0.67157,1.01718,0.95895,0.792,0.8973,0.71201,0.86862,1.29767,0.82152,0.00168716,0.00168716,0.00168716
81,1572.08,0.86855,0.78271,1.09464,0.9689,0.79661,0.88533,0.72592,0.74809,2.9433,0.82538,0.0016832,0.0016832,0.0016832
82,1593.09,0.81947,0.74627,1.08457,0.99083,0.76271,0.85585,0.71319,0.7807,1.77348,0.81506,0.00167924,0.00167924,0.00167924
83,1612.15,0.87678,0.76479,1.10274,0.91902,0.76954,0.86225,0.70168,0.7901,1.67612,0.82459,0.00167528,0.00167528,0.00167528
84,1631.33,0.76866,0.73869,1.06156,0.90339,0.79254,0.857,0.68429,0.8047,2.39532,0.83837,0.00167132,0.00167132,0.00167132
85,1650.5,0.81493,0.71509,1.08927,0.96702,0.74576,0.85358,0.69325,0.88198,2.84343,0.82573,0.00166736,0.00166736,0.00166736
86,1671.31,0.78348,0.76039,1.05554,0.93909,0.78404,0.89044,0.74373,0.85551,1.86564,0.80322,0.0016634,0.0016634,0.0016634
87,1691.26,0.78147,0.85318,1.00913,0.99595,0.76271,0.82907,0.68336,0.81342,2.59324,0.81485,0.00165944,0.00165944,0.00165944
88,1710.58,0.85549,0.9445,1.0699,1,0.82991,0.86118,0.69969,0.98332,1.74467,0.83586,0.00165548,0.00165548,0.00165548
89,1729.65,0.93091,0.88506,1.11254,0.97188,0.57627,0.71476,0.56855,1.04864,1.36772,0.93898,0.00165152,0.00165152,0.00165152
90,1749.04,0.90015,0.83872,1.09673,0.91538,0.62712,0.7197,0.56515,1.02721,2.25457,0.91935,0.00164756,0.00164756,0.00164756
91,1768.43,0.7973,0.74221,1.03952,0.93644,0.57627,0.71893,0.56639,1.14221,2.7904,0.99015,0.0016436,0.0016436,0.0016436
92,1787.47,0.73608,0.61886,0.96079,0.87199,0.62712,0.69244,0.52515,1.1167,2.15685,0.99796,0.00163964,0.00163964,0.00163964
93,1806.55,0.77024,0.71108,1.04162,0.89959,0.84746,0.88756,0.73157,0.83787,1.56383,0.80516,0.00163568,0.00163568,0.00163568
94,1825.81,0.7865,0.67008,1.09131,0.9749,0.81356,0.91124,0.74066,0.82273,1.13243,0.79883,0.00163172,0.00163172,0.00163172
95,1844.94,0.71222,0.63086,0.99512,0.96148,0.84608,0.89415,0.73776,0.81306,1.89426,0.78747,0.00162776,0.00162776,0.00162776
96,1863.8,0.72292,0.68178,1.0374,1,0.80564,0.88764,0.74211,0.83465,4.50288,0.79338,0.0016238,0.0016238,0.0016238
97,1883.37,0.7277,0.6022,1.02398,1,0.75877,0.88379,0.73455,0.85398,4.28599,0.79677,0.00161984,0.00161984,0.00161984
98,1902.32,0.70362,0.6088,1.01721,0.97906,0.79246,0.93404,0.73887,0.81214,0.86243,0.80163,0.00161588,0.00161588,0.00161588
99,1921.31,0.71365,0.63265,1.00998,0.99646,0.86441,0.97516,0.78122,0.71663,0.7361,0.78861,0.00161192,0.00161192,0.00161192
100,1941.12,0.79874,0.66505,1.07925,0.94512,0.9322,0.97659,0.79614,0.70931,0.60642,0.79031,0.00160796,0.00160796,0.00160796
101,1961.56,0.72654,0.63678,1.05518,0.93211,0.93085,0.96616,0.80348,0.70215,0.60969,0.80157,0.001604,0.001604,0.001604
102,1982.09,0.75616,0.54566,1.03005,0.99582,0.81356,0.95105,0.7937,0.72866,0.63789,0.79461,0.00160004,0.00160004,0.00160004
103,2001.25,0.72839,0.63158,1.04773,1,0.80671,0.94488,0.7678,0.77317,0.65756,0.78931,0.00159608,0.00159608,0.00159608
104,2020.3,0.68399,0.594,1.00354,0.98112,0.88086,0.96431,0.78193,0.72982,0.80469,0.79985,0.00159212,0.00159212,0.00159212
105,2039.45,0.71652,0.69268,1.02801,0.97602,0.88136,0.96225,0.78229,0.77577,0.93178,0.79756,0.00158816,0.00158816,0.00158816
106,2058.71,0.83467,0.75453,1.11715,0.94389,0.85548,0.95901,0.78567,0.74286,0.91009,0.77614,0.0015842,0.0015842,0.0015842
107,2077.95,0.716,0.65388,1.00661,0.96417,0.86441,0.96813,0.7778,0.75926,0.93908,0.77908,0.00158024,0.00158024,0.00158024
108,2097.09,0.68437,0.58153,0.96241,0.94973,0.84746,0.93775,0.76206,0.75457,1.43984,0.77957,0.00157628,0.00157628,0.00157628
109,2116.63,0.74346,0.57986,1.04344,0.90208,0.88136,0.916,0.75748,0.79975,1.74142,0.78997,0.00157232,0.00157232,0.00157232
110,2135.5,0.8236,0.63438,1.08061,0.94377,0.85345,0.93078,0.77694,0.79594,0.88452,0.77116,0.00156836,0.00156836,0.00156836
