epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,16453.9,0.20834,0.22246,0.17576,0.7475,0.99276,0.99843,0.9918,0.98972,0.99276,0.99843,0.9918,0.92233,0.13369,0.15685,0.10246,0.57254,0.000815959,0.000815959,0.000815959
67,16700.2,0.21074,0.23638,0.17141,0.75163,0.99138,0.99858,0.99365,0.991,0.99138,0.99858,0.99365,0.92469,0.13009,0.15896,0.10246,0.57248,0.000806528,0.000806528,0.000806528
68,16959.8,0.2017,0.2232,0.16403,0.73313,0.99324,0.99812,0.99203,0.98769,0.99324,0.99812,0.99203,0.92681,0.12853,0.15503,0.10289,0.57132,0.000797096,0.000797096,0.000797096
69,17210.4,0.21093,0.23861,0.18736,0.74192,0.99345,0.99796,0.99237,0.9899,0.99345,0.99796,0.99237,0.93345,0.12368,0.15452,0.1028,0.5714,0.000787665,0.000787665,0.000787665
70,17453.4,0.19974,0.22356,0.17057,0.76259,0.99307,0.99804,0.99164,0.98849,0.99307,0.99804,0.99164,0.92253,0.13089,0.15944,0.10294,0.57192,0.000778233,0.000778233,0.000778233
71,17695.8,0.19343,0.2132,0.20523,0.7384,0.99137,0.9975,0.99321,0.98919,0.99137,0.9975,0.99321,0.92587,0.13223,0.15605,0.10976,0.57179,0.000768802,0.000768802,0.000768802
72,17942.6,0.19464,0.21883,0.19894,0.74622,0.9904,0.99875,0.99317,0.98995,0.9904,0.99875,0.99317,0.92784,0.123,0.16609,0.11654,0.57146,0.000759371,0.000759371,0.000759371
73,18187.5,0.19562,0.21539,0.22259,0.7463,0.99375,0.99853,0.99316,0.98832,0.99375,0.99853,0.99316,0.91752,0.13069,0.17083,0.10973,0.57148,0.000749939,0.000749939,0.000749939
74,18438.2,0.20073,0.22881,0.18283,0.74455,0.99427,0.99875,0.99411,0.99042,0.99427,0.99875,0.99411,0.93362,0.13284,0.14866,0.10562,0.5725,0.000740508,0.000740508,0.000740508
75,18690.4,0.21008,0.21584,0.18899,0.74258,0.99481,0.99875,0.99411,0.99273,0.99481,0.99875,0.99411,0.92734,0.12297,0.15693,0.10561,0.57138,0.000731076,0.000731076,0.000731076
76,18951,0.1958,0.21581,0.17038,0.74543,0.99465,0.99867,0.99337,0.98978,0.99465,0.99867,0.99337,0.92109,0.14286,0.16007,0.10064,0.57439,0.000721645,0.000721645,0.000721645
77,19208.3,0.1845,0.21107,0.16338,0.73013,0.9948,0.99875,0.99426,0.99273,0.9948,0.99875,0.99426,0.92248,0.12476,0.15812,0.10392,0.57033,0.000712214,0.000712214,0.000712214
