epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,8965.53,0.2074,0.16665,0.753,0.99738,0.99882,0.99499,0.98824,0.12303,0.09847,0.69684,0.0005546,0.0005546,0.0005546
75,9089.07,0.20151,0.14884,0.7563,0.99765,0.99987,0.99431,0.98812,0.12026,0.09583,0.69619,0.0005348,0.0005348,0.0005348
76,9217.02,0.1987,0.14336,0.76397,0.99765,0.99989,0.99488,0.99024,0.12599,0.09896,0.69699,0.000515,0.000515,0.000515
77,9337.45,0.19435,0.14298,0.75705,0.99765,0.99995,0.99489,0.99147,0.13027,0.09745,0.69816,0.0004952,0.0004952,0.0004952
78,9452.23,0.20315,0.16067,0.75862,0.99882,0.9976,0.99498,0.99014,0.1268,0.09916,0.69772,0.0004754,0.0004754,0.0004754
79,9566.16,0.20165,0.17039,0.75211,0.99648,0.99879,0.995,0.98965,0.12909,0.10297,0.69743,0.0004556,0.0004556,0.0004556
80,9682.97,0.19835,0.14989,0.76498,0.99882,0.99757,0.99493,0.98871,0.12344,0.10206,0.69784,0.0004358,0.0004358,0.0004358
81,9798.11,0.19946,0.14535,0.7647,0.99756,0.99882,0.99462,0.98751,0.1258,0.09738,0.69777,0.000416,0.000416,0.000416
82,9923.31,0.19978,0.15148,0.76173,0.99765,0.99868,0.99492,0.98709,0.12095,0.09603,0.69749,0.0003962,0.0003962,0.0003962
83,10045,0.19297,0.14673,0.7614,0.99874,1,0.9948,0.98742,0.11161,0.09583,0.69687,0.0003764,0.0003764,0.0003764
84,10173.6,0.19563,0.14392,0.75899,0.99761,1,0.99481,0.98959,0.11714,0.09136,0.69759,0.0003566,0.0003566,0.0003566
85,10298.7,0.18948,0.14623,0.75888,0.99763,1,0.995,0.9878,0.12245,0.08773,0.69737,0.0003368,0.0003368,0.0003368
86,10420.8,0.18338,0.14121,0.75585,0.99873,0.99882,0.99499,0.9891,0.11387,0.0887,0.69686,0.000317,0.000317,0.000317
87,10542.8,0.1818,0.14858,0.74677,0.99882,0.99991,0.995,0.9889,0.10719,0.09069,0.69609,0.0002972,0.0002972,0.0002972
88,10664.2,0.18139,0.13174,0.74923,0.99872,0.99882,0.995,0.98873,0.11471,0.08632,0.69653,0.0002774,0.0002774,0.0002774
89,10785.9,0.1882,0.16013,0.75604,0.99882,0.99882,0.995,0.98872,0.11154,0.08956,0.69582,0.0002576,0.0002576,0.0002576
90,10908.1,0.18456,0.14028,0.75974,0.99882,0.99882,0.995,0.98854,0.10638,0.08905,0.69602,0.0002378,0.0002378,0.0002378
91,11027.9,0.15239,0.1111,0.70362,0.99872,0.99882,0.995,0.98854,0.11202,0.08977,0.69594,0.000218,0.000218,0.000218
92,11149.7,0.14474,0.10409,0.70135,0.99882,0.99993,0.995,0.98817,0.11174,0.08846,0.69651,0.0001982,0.0001982,0.0001982
93,11267.1,0.14776,0.10717,0.70975,0.99882,0.99994,0.995,0.98856,0.11019,0.09074,0.6965,0.0001784,0.0001784,0.0001784
94,11375.4,0.13834,0.09937,0.71288,0.99882,0.99998,0.995,0.99017,0.10788,0.09284,0.69636,0.0001586,0.0001586,0.0001586
95,11484.2,0.13525,0.10171,0.69839,0.99882,0.99991,0.995,0.98911,0.1151,0.09129,0.69646,0.0001388,0.0001388,0.0001388
96,11594.8,0.13767,0.09816,0.69563,0.99882,0.99996,0.995,0.98869,0.10224,0.08732,0.69577,0.000119,0.000119,0.000119
97,11710.5,0.13322,0.09796,0.69489,0.99878,1,0.99496,0.98978,0.10174,0.09392,0.69576,9.92e-05,9.92e-05,9.92e-05
98,11819.3,0.13158,0.09563,0.69285,0.99882,0.99995,0.995,0.98931,0.10119,0.08962,0.696,7.94e-05,7.94e-05,7.94e-05
99,11928.1,0.1303,0.09925,0.6971,0.99873,0.99882,0.995,0.9892,0.10295,0.08308,0.69527,5.96e-05,5.96e-05,5.96e-05
100,12035.5,0.13062,0.09558,0.70372,0.99882,0.99991,0.995,0.9891,0.10104,0.08219,0.69504,3.98e-05,3.98e-05,3.98e-05
