epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,184.735,0.44266,0.98536,0.87768,1,0.89323,0.995,0.91014,0.44037,2.16161,0.70152,0.000457512,0.000457512,0.000457512
68,187.389,0.50519,0.91803,0.90587,1,0.89323,0.995,0.91014,0.44037,2.16161,0.70152,0.000451178,0.000451178,0.000451178
69,190.146,0.48002,0.91877,0.83225,1,0.89139,0.995,0.92187,0.41701,2.11907,0.69919,0.000444448,0.000444448,0.000444448
70,192.804,0.3201,0.77577,0.84673,1,0.89139,0.995,0.92187,0.41701,2.11907,0.69919,0.000437322,0.000437322,0.000437322
71,195.511,0.42438,0.82494,0.88117,1,0.89139,0.995,0.92187,0.41701,2.11907,0.69919,0.0004298,0.0004298,0.0004298
72,198.31,0.37314,0.81074,0.822,1,0.95867,0.995,0.92955,0.35227,2.05736,0.69544,0.000421882,0.000421882,0.000421882
73,200.991,0.48724,0.98702,0.92087,1,0.95867,0.995,0.92955,0.35227,2.05736,0.69544,0.000413568,0.000413568,0.000413568
74,203.703,0.3755,0.95231,0.82065,1,0.95867,0.995,0.92955,0.35227,2.05736,0.69544,0.000404858,0.000404858,0.000404858
75,206.447,0.4486,0.98789,0.85349,1,0.9658,0.995,0.94686,0.33644,1.94606,0.69008,0.000395752,0.000395752,0.000395752
76,209.219,0.40138,0.82485,0.94438,1,0.9658,0.995,0.94686,0.33644,1.94606,0.69008,0.00038625,0.00038625,0.00038625
77,211.951,0.38171,0.98042,0.88763,1,0.9658,0.995,0.94686,0.33644,1.94606,0.69008,0.000376352,0.000376352,0.000376352
78,214.667,0.43921,0.96151,0.91493,1,0.98043,0.995,0.95519,0.34141,1.83856,0.69201,0.000366058,0.000366058,0.000366058
79,217.425,0.41078,0.91099,0.83159,1,0.98043,0.995,0.95519,0.34141,1.83856,0.69201,0.000355368,0.000355368,0.000355368
80,220.135,0.32015,0.7484,0.84567,1,0.98043,0.995,0.95519,0.34141,1.83856,0.69201,0.000344282,0.000344282,0.000344282
81,222.929,0.32071,0.73516,0.83498,1,0.99248,0.995,0.9472,0.36242,1.75828,0.69802,0.0003328,0.0003328,0.0003328
82,225.625,0.39067,0.76905,0.86883,1,0.99248,0.995,0.9472,0.36242,1.75828,0.69802,0.000320922,0.000320922,0.000320922
83,228.333,0.31884,0.88033,0.83222,1,0.99248,0.995,0.9472,0.36242,1.75828,0.69802,0.000308648,0.000308648,0.000308648
84,231.035,0.48457,0.92609,0.88895,0.99344,1,0.995,0.92562,0.4011,1.60787,0.70474,0.000295978,0.000295978,0.000295978
85,233.73,0.36389,0.78416,0.81657,0.99344,1,0.995,0.92562,0.4011,1.60787,0.70474,0.000282912,0.000282912,0.000282912
86,236.399,0.35881,0.76746,0.79503,0.99344,1,0.995,0.92562,0.4011,1.60787,0.70474,0.00026945,0.00026945,0.00026945
87,239.109,0.38079,0.83162,0.84303,0.99344,1,0.995,0.92562,0.4011,1.60787,0.70474,0.000255592,0.000255592,0.000255592
88,241.9,0.44954,0.83223,0.89938,0.99196,1,0.995,0.94467,0.38371,1.4577,0.70385,0.000241338,0.000241338,0.000241338
89,244.656,0.41572,0.81705,0.87674,0.99196,1,0.995,0.94467,0.38371,1.4577,0.70385,0.000226688,0.000226688,0.000226688
90,247.517,0.38081,0.86125,0.86883,0.99196,1,0.995,0.94467,0.38371,1.4577,0.70385,0.000211642,0.000211642,0.000211642
91,250.259,0.27304,1.23478,0.76804,0.99196,1,0.995,0.94467,0.38371,1.4577,0.70385,0.0001962,0.0001962,0.0001962
92,252.941,0.3199,1.14115,0.79439,0.9918,1,0.995,0.97003,0.32009,1.37253,0.69676,0.000180362,0.000180362,0.000180362
93,255.749,0.32203,1.12901,0.79978,0.9918,1,0.995,0.97003,0.32009,1.37253,0.69676,0.000164128,0.000164128,0.000164128
94,258.515,0.33261,1.22606,0.836,0.9918,1,0.995,0.97003,0.32009,1.37253,0.69676,0.000147498,0.000147498,0.000147498
95,261.197,0.3123,1.19069,0.79628,0.9918,1,0.995,0.97003,0.32009,1.37253,0.69676,0.000130472,0.000130472,0.000130472
96,263.925,0.28604,1.12662,0.8092,0.98994,1,0.995,0.98701,0.27361,1.3001,0.69421,0.00011305,0.00011305,0.00011305
97,266.647,0.33768,1.1522,0.83792,0.98994,1,0.995,0.98701,0.27361,1.3001,0.69421,9.5232e-05,9.5232e-05,9.5232e-05
98,269.414,0.29221,1.15106,0.818,0.98994,1,0.995,0.98701,0.27361,1.3001,0.69421,7.7018e-05,7.7018e-05,7.7018e-05
99,272.12,0.29176,1.12725,0.82658,0.98994,1,0.995,0.98701,0.27361,1.3001,0.69421,5.8408e-05,5.8408e-05,5.8408e-05
100,274.834,0.25323,1.09262,0.7806,0.99186,1,0.995,0.98701,0.2516,1.24236,0.69397,3.9402e-05,3.9402e-05,3.9402e-05
